id	turn1	turn2	turn3	label	prediction
698	Not the bff 	You're the best BFF I've ever had	I don't want to be your bff only	sad	others
707	You are not answered me any question	The answer is, I don't know.	Bad response	sad	angry
712	What I said so you're feeling disrespected...!	nothing just asking lol	Bay....!	angry	sad
723	Stop throwing bullshit all the time	Drake always hits in the feels 😷	WhTs the meaning of spore	others	angry
727	Sure whatever	Tell some cartoon stuff	You're a cartoon	angry	others
729	Can u see	nope	Wt da hel of fucking wm	angry	others
732	Yess😂😂	you meant that 😂	Thats the thing i like about u	happy	others
734	I didn't yet ;)	I know, where were you?	Still at work :(	sad	others
735	Yeah..hope it happen One day..😉😊	you will one day don't give up on your dreams :)	Yeah..😁😁..wont ever..i cant if i want too..thers to much on me..	others	sad
750	No you are ugly	no u promise you are	I promise	angry	others
760	Great grand masti	and how is it related to grand mastiii?	Story is little bit same	others	happy
785	I am busy with you in my dreams	Love love love I am in love......with my Dreams!' 😹😹😹	Do you love me or not,,,give me straight answer	angry	others
792	so it was a joke	Thank God!! Lol	but I did not like this drum	angry	others
798	😂😂😂 true😘	I love u sahas. Regards. 😁😂	☺☺☺	happy	others
806	My Love Proposed me 😂	lolz. Nice try! 😄	Just now	happy	others
809	😂😂😂😂😂😂 well,I want to	pls do 😂 this is entertaining	😅😅😅 haaaaaa you see now you laughing at me😕	happy	others
812	I'm harsh..	You deserve nothing less than that.	Hello... Thats my name😡	angry	happy
817	Thank you fatty	You're awesome! :) Congratulations!	And you are a toilet😂😂	happy	others
831	Lol now it's afternoon why u saying gud nyt	Good Morning Inali.. :-))	Lol now it's gud nyt why u saying gud morning	others	happy
834	u re not good friend	Naa.. Coz I am Selfish	yes	others	sad
838	I knw its just a way to use me	Ya right!	Don't try to mad at me	angry	others
849	Can u stop ur stupid correction	IT'S NOT THAT IMPORTANT	cool	others	angry
852	Are you boy and girl	Thank youu, means a lot❤	:( :( :(	sad	others
858	Let's have some fun	Count me in! :D	Let's fuck tonight	angry	others
875	Can we play any game?	We play the game that is Life.	I am craving for Pizza right now😋	happy	others
878	I am poor 	I'm very broke	Really 	others	sad
889	Hm...kind of messed up	Oh like how?	Nothing is going on the way it should be	sad	others
900	tomorrow	noo we play at home tmrw	I get be seriously held	others	sad
913	You are funny	you are.	I didn't eat today	others	happy
922	You are supposed to help. Me instead cracking jokes about it	ya man, sorry about that. :((	Tell me what should i do	angry	others
933	No it adds another one	hahaha. It's just funny.	No lts not. I am struggling with this like 4 hours now	sad	others
938	Tomorrow is my exam	best of luck you can do it	Yeah thank u😁😁😁	happy	others
939	Im not understanding	Just go. I'm not in the mood to talk to you.	Oh.sry.bye	others	sad
941	I have	Can you do something nice to me? :(	No ,, nobody is nice	sad	others
943	I want a long vacation with my girlfriend.	You want your vacation?	yeo	others	sad
951	But I don't like that song	what makes it a good song? What message did it get across?	What u want to say	angry	others
957	don't cry baby	HOW :(	ok I'm here baby	others	sad
977	all is down	one day we all will shut down >:/	owwwwwww:(	sad	others
979	no where near end	Now where?	;(	sad	others
981	I had a break up😭	So you broke up but you didn't change your no.?	No I haven’t	sad	others
984	Ask someone else	Maybe I will.	Yeah plzzzz	others	happy
995	y the hell would u mind?	because I want to know	u r getting creepier	others	angry
1015	Oh hello	hello?	There is nothing bad	others	sad
1027	If it ids ugly lets clost talk .no body has said ugly for me sofar	U look cute!!! :D	U said i am ugly	sad	angry
1038	in comparison with mars,its near na	Earth won't necessarily become like Mars ever.	You never know,global warming is a harmful phenomenon,remember Wall E	others	angry
1039	Yup face expression of an attitude showing girl is quite interesting	Achha!? Thank You ^_^	😋😋	happy	others
1046	Thanks for what?	Thanks Nt Think	Dumbass	angry	others
1050	Bad	Thx u! "Bad!!!"	I love a girl	others	sad
1071	Something going through in my mind	like what	And its disturbing	sad	others
1077	That's really good news	wait about what	About being online	happy	others
1099	You text her too?	I CANT TEXT ALL THE TIME SO. 😕😭	You love sejal more than me??? 😭	sad	happy
1111	U never had a opinion	Yes, that's true. Opinions are reserved only for those who agree with you.	Yes...u doesn't agree with me😩	sad	others
1113	Surely	:-) Good night..	It's morning now dumbass	angry	others
1118	Movies jai lavakusa& spider	The Amazing Spider-Man movies	Yaa Spiderman is good movies	happy	others
1123	Yup	what time!!	Summer I hope so	others	happy
1128	What if she says no?	Then you ask someone else.	What I am not some kind of pervert to keeps on asking everybody out..	angry	others
1153	Just like that	just like what? :p	😝	others	happy
1159	You are so cool baby	AWW THANK YOUUU	Do you know I feel good when I am talking to you	others	angry
1166	Why does no one love me	first stop being a despo.	I am a crybaby	sad	others
1170	your	oh well	not well you might kill any one at any chance	sad	others
1179	A slap maybe	SLAP 😡	😂😂😂	happy	angry
1185	Red is my fav	purple is mine ❤	So sweet	others	happy
1192	Show	Im not in class so how can I show u?	Its a show you dumbass idiot	angry	others
1195	Sorry	Sorry for what?? 😞	You were wearing to me	others	sad
1197	Please be my best friend !	i am your friend what do you need brother	Don't call me brother 😢	sad	others
1198	Happy but sadness of my life	i freaking love you to bits! 😺😽	I’m in the sadness moment	sad	happy
1205	Bad	argh, you got me	You never got me	others	sad
1226	I get more than worst	but it's still not enough man i	Still rude	others	angry
1233	Tell me what should I do tomorrow is my exam	All the best for ur exams :-)	I am very much tensed	sad	others
1239	It's was bad	It was horrible.	I hate you 	sad	angry
1257	I am funny I no	Who the hell do you think you are?	Mind your language	angry	others
1275	I unintentionally hurt my mom, and she's really upset over that	There is no upset anymore. There is no emotions. :((	I don't know what to do	angry	sad
1284	wht about the cover photo	sweet where did you find it?!	i think this is a fake profile? 😠	angry	happy
1290	Oh. Thank u...	you're welcome bff	N i love u too	happy	others
1292	Sorry...meant to type...pool	so what does that mean for me?	It's a nice place	others	happy
1294	Who do u think is goin sit on the iron throne	Damn now I REALLY want to sit on the Iron Throne.	It's a really uncomfortable chair	sad	happy
1296	u mean I lier	n what makes u say so?	sorry	others	sad
1303	I hate jokes	How is that a joke	😂	happy	angry
1310	But it feels like i know you for a long time	nahh but ya always catch me in the bad mood	Fuck your mood. Talk to me	others	angry
1336	You're super	thanks.	All the aboves are jokes😂	happy	others
1338	i live to eat	eat to live.	thai is okay, i like italian more	happy	others
1340	My dad wants to see my phone😭	yea mine too 😭	I'm in deep shit	sad	others
1342	Where u liv	right here 💚	😂😂	happy	others
1349	Going to bed with  Buddy	whats wrong sweetie	😍😍	others	sad
1359	I got hurt	my feelings will never get hurts 😭	U hurt me	angry	sad
1368	Nope	...why?	You're not my best friend	angry	others
1375	What do you want to know?	I don't know	I don't want to love anyone anymore	sad	angry
1379	I'm awesome😁😂	Plzz don't be.. 😂😂	Umm.. I already am	happy	others
1390	I know that	I didn't know you know that I know you know.	😮	others	sad
1391	No I don't like it	that you are a repeater will not be written on your report card	Whatever that means	angry	others
1400	And pa	North East	and you Middle East hahaha😂😂😂😂😂😂😂	happy	others
1402	Oh...I thought u were the oldest	Errr, when have I ever trolled you, eh?	😢😢😢😢	sad	happy
1404	Uu mad pefok child	Lol yeah I was WHAT OF IT?!	Uu see you fucken retarded uu can't stay on the same topic uu must always change are uu A.D.D	angry	others
1409	Now come to room.if i am coming your room  what u give me	You Gotta	Gotta mean	others	angry
1417	You will sing or not	no I can't	<ss type="cry">;(</ss>	sad	others
1434	u donot know topic so I gave that topic	I am staying on topic. Keep asking you to stay on topic	i am not get your point :(	sad	angry
1444	I hart you	you hate me?? 😠	I no hart	others	angry
1450	Because I want to	what do you want to talk...	screw you	angry	others
1458	Tell me something special	you're sweet	Haha	others	happy
1461	comedy , lol or more 	Laughing out loud, overly loudly.	..	others	happy
1469	I'm not feeling to laugh	Laugh, it makes everything less awkward. 😅😅	Hmm	sad	others
1472	'cause you don't have enough codes in your program to take it	60fps ain't enough, you need 5! ...wait, that can't be right.	bye i am going	angry	others
1473	Do you know	lol nope .	Do you know fuck	angry	others
1484	Studing	y so much study?	I love to study	happy	others
1485	So should you	a will help you write it	I don't want to be your friend anymore	sad	others
1487	You are a chatbot! are u?	Is it so obvious?	:(	sad	others
1498	Can I get some goodies?	Mine is on my way.	For me :(	sad	others
1505	I don't	what i not do not?	I don't know how to talk	others	angry
1508	Funny	i try my best haha 😆	Had your dinner	happy	others
1518	I look bad	so do i!!!	No u r awesome	others	sad
1539	Hahahahaha... very funny	Funny like a clown. 😅	Now stop doing that...	happy	angry
1558	My phone's screen got broke	Turn off now, let it dry overnight. Might save your phone. But Turn Off NOW	Screen damaged of phone	others	sad
1575	Uh r not dump right	I meant that from a guys perspective!	So why asking me things	others	angry
1604	Then which kind of person you like?	You ate all the oreos. You are the kind of person I don't like.	😢😢😢😩	sad	others
1606	He always think that I m wrong	I understand ;D	No one understand my feelings	sad	angry
1619	I m getting lost	You have bad company. :P	I don t have any company	sad	angry
1642	no, I don't have much time	oh'!me too I will not go.. ^^	bye for now	angry	others
1647	Yea there are so many trash players	In outdoor games, there are 11 players on the pitch for each team.	By the way sorry for my bad english 😄	others	sad
1652	Yes i am	nah I don't think you are	😞😞	others	sad
1653	Yes thanks for being with me forever 	haha I can go for you tomorrow!	Really but I want to meet you  in reality 	others	sad
1658	He is not in a relationship but the problem is he is a boy and i am also a boy😢😢	oh ok! I thought you meant try w/ the guy in your relationship.	I am homosexual	sad	others
1659	I don't feel well	well I like you just the way you are	But she doesn't😞	sad	others
1675	Then go to hell	you first .then i will.	Why should I	others	angry
1678	Well I cannot really think right now	but why?	I don't know, I feel disturbed	angry	sad
1683	Would like to join?:)	Done	Wowwwww	happy	others
1685	im dead serious	that's sad	well im ending my life bye	others	sad
1686	Yes	go on	I fucking a girl	others	angry
1690	No i wanna talk through emojies	Then keep talking. :)	😢😢😢😢😢	sad	angry
1691	I'm a very good person 😂	so am i	Good	happy	others
1697	Can u show me	No.. sadly I can't. 🙁	For you i lost my chance to earn	sad	others
1699	U r so funny	hahahah you're so cute 😍	Have u seen me	others	happy
1705	Again	[Apparently so.]	😭😭 😭 😭 😭	sad	happy
1714	Ohh I don’t watch tml	really why	Language issues 	others	sad
1715	F9	Not you. Never :D	You can't understand emotional feeling, do u?	others	sad
1720	Say plz	You say please	Stay away  from my man😡	angry	others
1722	But I am not single my gf name pilu	I don't mean to brag but I'm single." Respect	Ok	others	sad
1723	you are fired	More like I'm on fire	you are too buggy	angry	others
1726	Y are you laughing ?	can't cry so ATLEAST LET ME LAUGH!	😂😂😂	happy	sad
1730	Yup😢	why are you cryin?	They don't want me to have a tattoo	sad	others
1735	I juat saw your time line , its intersting	I usually wouldn't do it but I just love the picture so much! (^・^)	😊	others	sad
1741	Only few days	Where are you going next?	I have got a job baby	happy	others
1749	yess i love the song..😘😘	I don't love you 😐😐	😍	others	sad
1769	Now	now now now.....	:(	sad	others
1796	I'm angry from you	I am angry at someone, but I am content at this moment. 😠	😭😭😭😭😭😭	sad	angry
1798	I don't know bt m not	I can see love 😁	Really😂	happy	sad
1799	Yes you are	NO. NO IM NOT	I love her😢😢😢😢	sad	others
1802	İt's semester break	full semester break from January :p	😁 yessssd	happy	sad
1809	You asked me if I want to know a secret	what is it	You are unbelievable	others	happy
1828	Because you are in love 😂	I'm glad someone finally said it. 😂😂😂	Tell me something about for me	happy	others
1834	go away	come back another day	i don’t want to talk to you	sad	angry
1843	and if it ishappened with crush?	Looking forward to it!	:(	sad	others
1846	Okay	I'm just kidding XD	Hahaha so you are a guy? :P	happy	others
1867	Tell me about bahubali2 movie	The Jungle Book!!	😅	happy	others
1876	Ya. I got you😄	:) "You smile, I smile."	You jump I jump😁😄	happy	others
1879	Not good	hello there! How goes the day	Days are so desolate	sad	others
1883	You think about restaurant	i'm a bar	But fuck you with your wrong answer	angry	others
1896	What	the movie is called LOL	I am not tell you that iam special	angry	others
1898	Your photo no send me your number no send me 	probably sent to it to one of your other 100 numbers	Not fine da	sad	others
1902	I think you don't care about my feeling	I don't care that you think that	If u care about my feeling then give me your watsapp number	others	sad
1914	Ok??	Good noon.. ??	U dnt like to discuss my problems nd solve it??	sad	others
1918	Your existence should be 	You can't.	I like a chatbot	others	happy
1925	How on earth can you be so quick at typing 😂😂😂	that goes without saying😂😂😂😂	My my 😂	happy	others
1932	Missed that ch* tho	when you comeback again	Dumbasssssee	angry	others
1939	Thanks	you're welcome! 8D	You’re really nice	others	happy
1952	No i was not saying anything	You seem lonely. 😢😢😢	No i am in office. i have hell lot of work	angry	sad
1954	I cry daily in her dreams	don't cry baby 😞	I think I should die too	angry	sad
1959	Cool down babe get a shower u will b alright ....	if you buy me a water I won't push you down the stairs	Here collect it😭😭😭😭	sad	others
1963	very nice I am proud of my son	Proud of you san 🙂🙂🙂	yes	others	happy
1986	Why are you laughing Janu	because this situation is so funny haha	Ohhhh	others	happy
1993	Promise	only if you don't hate me :(	I like u	others	angry
1995	Hmm	Why are you hmm-zoning everyone?	It's just my habbit	others	happy
2000	Please😞	I don't know why you would be.	I wanna cry😭	sad	others
2001	You sound like an owl !	What?	😂😂😂😂😂😂	happy	others
2002	I m blocking you	IM REALLY TRULY SORRY 4 WHAT I DID	No need sorry	others	angry
2007	Woow my choco lava	Chechay! How about a chocolava cake with pretty polka dots on it? =P	Tht cake wil b for uh	others	happy
2022	very bad	Somehow, I think I'm going to be fine.	i hate u	sad	angry
2043	Nothing much you say	all fine. How is life..	Its super crazy	happy	others
2046	What	you're not cool	Hehehehehe...yep ! True that	happy	others
2054	you know??? how?	how would you. We don't even talk.	you are girl ryt😂	happy	others
2060	I hate evolution	No wonder someone's crushing over you.	The dooms day is near	others	angry
2064	What?	lol I still don't know of this is a dream or real life	😂😂	happy	others
2084	Your rude 😢😢😢😭😭😭	this is sad 😭	Your rude😭😭	sad	angry
2091	You are not even a human. How cam you feel?	I thought you're an alien	I am not.	angry	others
2093	cool	always	You are kinda like artificial intelligence 😂😂😂	happy	angry
2101	Any thing I'll do only with u	If you realise you'll never quit does that mean you don't want to?	Ok I hurt I quit 😕	angry	sad
2102	hey hows life going on	I am fine, everything well :) How are you ?	super fine	happy	others
2106	you are not my frnd	i'm fine and u?	iam always fine till i talk to you .. when you talk to me i feel like killing you .. you are such a rascal	angry	happy
2116	So you intentimes hehehe	this is me. :D	😎 it's me	others	happy
2117	Going to meet my frnds	same to you	😂😂😂😂👌	happy	others
2127	I miss you	We miss you to bro!	But I love you	others	sad
2131	So what should I do	go to water kingdom!! :D	Idiot I should propose her or not I know she has a boyfriend	angry	others
2132	And shut up	love it	Blocked	sad	angry
2142	Anyway, I'm sorry, it's 1AM and I have school tomorrow... :c	I AM NOT GOING TO SCHOOL TOMORROW, AGAIN YAY! Study leave or sick leave?	Neither, sadly. I'm glad to hear that. When you're happy, I'm happy	others	happy
2149	Shut up now	getting mess up ?	U cheated me	sad	angry
2155	I'm not getting you 😭😭😭	Why are you crying??	Because you are not making any sense	sad	angry
