id	turn1	turn2	turn3	label	prediction
996	Im going to hav dinr	tell me what it is	😂😂😂😂	others	happy
1035	I like singing... and you?	can you sing ?	Nop	others	happy
1077	That's really good news	wait about what	About being online	happy	others
1086	What	thanks doll. It's on 6th though.	Wish u many many happy return of the day	others	happy
1095	I tell you true no or false	if all of them are false, then the third is true...	All is truly	others	happy
1116	I want to think so.😊	Might be.. I just shared what I thought	Where?	others	happy
1153	Just like that	just like what? :p	😝	others	happy
1198	Happy but sadness of my life	i freaking love you to bits! 😺😽	I’m in the sadness moment	sad	happy
1227	Feeling joyful and blessed	why why.. lemme also feel the same	Really	happy	others
1237	I think so	why u wanna be? :)	Kxip has improved alot	others	happy
1256	Thnx for lots of caring of mine 😂😂😂	I had before talking to you 😂😂😂	I hate uhh	angry	happy
1257	I am funny I no	Who the hell do you think you are?	Mind your language	angry	happy
1290	Oh. Thank u...	you're welcome bff	N i love u too	happy	others
1292	Sorry...meant to type...pool	so what does that mean for me?	It's a nice place	others	happy
1301	Do you like Selena Gomez	yeah	I'm good	others	happy
1338	i live to eat	eat to live.	thai is okay, i like italian more	happy	others
1399	i frm kerala.	nice 😂	wht is nice,	others	happy
1458	Tell me something special	you're sweet	Haha	others	happy
1461	comedy , lol or more 	Laughing out loud, overly loudly.	..	others	happy
1462	Yeah but you are then not afraid	I'm never afraid to pick up and move	Just riding	others	happy
1484	Studing	y so much study?	I love to study	happy	others
1518	I look bad	so do i!!!	No u r awesome	others	happy
1617	Name of that somebody?	depends on their name lol	Hahaha very smart you are	happy	others
1626	good idea can I join?	Let's do it. Would love to get involved!	yayy	happy	others
1631	Its amazing... You can kidding😁😅	I have yet to see the gold and white	White	others	happy
1647	Yea there are so many trash players	In outdoor games, there are 11 players on the pitch for each team.	By the way sorry for my bad english 😄	others	happy
1683	Would like to join?:)	Done	Wowwwww	happy	others
1735	I juat saw your time line , its intersting	I usually wouldn't do it but I just love the picture so much! (^・^)	😊	others	happy
1741	Only few days	Where are you going next?	I have got a job baby	happy	others
1776	U a crazy	I'm still crazy ;)	U luk nice wat ur other of u	happy	others
1787	Idk just like that..... Doesn't matter	that's wrong! I'm sure you matter a lot!	Hehe I might to a few people.	others	happy
1846	Okay	I'm just kidding XD	Hahaha so you are a guy? :P	happy	others
1865	I wanna confess something	you weird	I wanna confess something	others	happy
1919	Thanks. I'll remember that.	you better did.	Dhanyawad	others	happy
1936	Do you sing?	Yes I do. :D	Great.	others	happy
1939	Thanks	you're welcome! 8D	You’re really nice	others	happy
1963	very nice I am proud of my son	Proud of you san 🙂🙂🙂	yes	others	happy
2007	Woow my choco lava	Chechay! How about a chocolava cake with pretty polka dots on it? =P	Tht cake wil b for uh	others	happy
2008	i love food❤️	me love you moreeeeee ❤️❤️	lol what if i says free wifi?😂they what would be your answer?	others	happy
2027	All good	I hope you're have a good day so far.	Yuo, dint sleep yet	others	happy
2043	Nothing much you say	all fine. How is life..	Its super crazy	happy	others
2046	What	you're not cool	Hehehehehe...yep ! True that	happy	others
2102	hey hows life going on	I am fine, everything well :) How are you ?	super fine	happy	others
2116	So you intentimes hehehe	this is me. :D	😎 it's me	others	happy
2126	It's a grasshopper	Eww	You're ew! Bugs are cute.	others	happy
2142	Anyway, I'm sorry, it's 1AM and I have school tomorrow... :c	I AM NOT GOING TO SCHOOL TOMORROW, AGAIN YAY! Study leave or sick leave?	Neither, sadly. I'm glad to hear that. When you're happy, I'm happy	others	happy
2157	Do you sing?	yea a lil	Nice	others	happy
